Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
BF56S,Celebrations Tin,914D91HC04,387199003513636587,2272587,2020-03-29,04/04/2019 13:36,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636594,2272588,2020-03-29,04/04/2019 14:15,Goods Receipt Finished Goods,54,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,,,,,05/04/2019 06:47,Waste for Production order,-10.7696,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-2.7872,CASE
NR816,Bulk: DOVE chunk bulk 10kg,,,,,05/04/2019 06:47,Waste for Production order,-10.7024,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-0.832,CASE
NR811,Bulk: DOVE caramel bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-10.2336,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,,,,,05/04/2019 06:47,Waste for Production order,-0.2128,CASE
BB47D,Bulk:MW CR miniatures wafer,,,,,05/04/2019 06:47,Waste for Production order,-10.056,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,,,,,05/04/2019 06:47,Waste for Production order,-5.536,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636617,2272590,2020-03-29,05/04/2019 07:35,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914D91HC04,387199003513636600,2272589,2020-03-29,05/04/2019 07:43,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636624,2272591,2020-03-29,05/04/2019 08:50,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636631,2272592,2020-03-29,05/04/2019 10:02,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636747,2272603,2020-03-29,05/04/2019 10:10,Goods Receipt Finished Goods,54,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527855406,LE00498818,2020-02-23,05/04/2019 12:05,Used for production,-63,CASE
NR816,Bulk: DOVE chunk bulk 10kg,904E2VSN04,340111000024632555,LE00499014,2020-01-19,05/04/2019 12:06,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911E3NLD06,387199001528190933,LE00498814,2020-03-08,05/04/2019 12:06,Used for production,-63,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636754,2272604,2020-03-29,05/04/2019 13:17,Goods Receipt Finished Goods,54,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,912B3NLD07,387199001528238222,LE00499156,2019-10-20,05/04/2019 13:36,Used for production,-63,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636648,2272593,2020-03-29,05/04/2019 13:48,Goods Receipt Finished Goods,54,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774349,LE00498843,2020-02-23,05/04/2019 13:57,Used for production,-63,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636655,2272594,2020-03-29,05/04/2019 14:13,Goods Receipt Finished Goods,54,CASE
BF56S,Celebrations Tin,914E91HC04,387199003513636662,2272595,2020-03-29,05/04/2019 14:48,Goods Receipt Finished Goods,54,CASE
