Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633319,2272260,2020-03-29,03/04/2019 07:47,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633302,2272259,2020-03-29,03/04/2019 07:48,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633326,2272261,2020-03-29,03/04/2019 08:51,Goods Receipt Finished Goods,63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528057137,LE00498481,2020-03-15,03/04/2019 08:54,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,904C1NLD06,387199001527646608,LE00497967,2020-02-09,03/04/2019 08:54,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528181245,LE00498533,2020-03-08,03/04/2019 09:00,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633340,2272263,2020-03-29,03/04/2019 10:07,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633333,2272262,2020-03-29,03/04/2019 10:08,Goods Receipt Finished Goods,63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850685,LE00498580,2020-02-23,03/04/2019 11:47,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633357,2272264,2020-03-29,03/04/2019 12:03,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633364,2272265,2020-03-29,03/04/2019 12:04,Goods Receipt Finished Goods,63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057878,LE00498760,2020-03-15,03/04/2019 12:33,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773854,LE00498575,2020-02-16,03/04/2019 12:33,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179068,LE00498544,2020-03-08,03/04/2019 13:03,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633388,2272267,2020-03-29,03/04/2019 13:50,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633371,2272266,2020-03-29,03/04/2019 13:51,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633395,2272268,2020-03-29,03/04/2019 14:35,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633401,2272269,2020-03-29,03/04/2019 15:51,Goods Receipt Finished Goods,63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773625,LE00498469,2020-02-16,03/04/2019 15:57,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911E2NLD06,387199001528190278,LE00498804,2020-03-08,03/04/2019 16:09,Used for production,-63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057380,LE00498758,2020-03-15,03/04/2019 16:09,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527849900,LE00498581,2020-02-23,03/04/2019 16:20,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633418,2272270,2020-03-29,03/04/2019 16:27,Goods Receipt Finished Goods,63,CASE
