Item,ItemDescription,MGBC,SSCC,LocalReferenceNumber,LocalPalletID,BBD,PalletizationDateAndTime,CoPackingConversionDateAndTime,Location,TransactionDateAndTime,TransactionType,TransactionQuantity,TransactionUOM,StockType,OnHandQuantitybyStockType,ShipTo,CNN,ParentSSCC,ConsumedQuantity,MachineLine
NR278,Bulk: SNICKERS miniatures bulk 10kg,909B3NLD06,387199001528037818,59285,LE00498364,2020-02-23,,,NL08,02/04/2019 12:19,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528056277,59285,LE00498470,2020-03-15,,,NL08,02/04/2019 12:19,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527845483,59285,LE00498160,2020-02-23,,,NL08,02/04/2019 12:19,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633166,59285,2272245,2020-03-29,,,NL08,02/04/2019 12:43,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633173,59285,2272246,2020-03-29,,,NL08,02/04/2019 13:39,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633180,59285,2272247,2020-03-29,,,NL08,02/04/2019 13:42,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528181146,59285,LE00498658,2020-03-08,,,NL08,02/04/2019 13:54,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771416,59285,LE00498475,2020-02-16,,,NL08,02/04/2019 13:54,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633197,59285,2272248,2020-03-29,,,NL08,02/04/2019 14:31,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633203,59285,2272249,2020-03-29,,,NL08,02/04/2019 15:34,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057847,59285,LE00498478,2020-03-15,,,NL08,02/04/2019 15:44,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527845131,59285,LE00498167,2020-02-23,,,NL08,02/04/2019 16:06,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633210,59285,2272250,2020-03-29,,,NL08,02/04/2019 16:34,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,904C1NLD06,387199001527645427,59285,LE00497976,2020-02-09,,,NL08,02/04/2019 16:55,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180101,59285,LE00498656,2020-03-08,,,NL08,02/04/2019 16:55,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633227,59285,2272251,2020-03-29,,,NL08,02/04/2019 17:47,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633234,59285,2272252,2020-03-29,,,NL08,02/04/2019 18:32,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528057267,59285,LE00498477,2020-03-15,,,NL08,02/04/2019 18:56,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633241,59285,2272253,2020-03-29,,,NL08,02/04/2019 19:16,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633258,59285,2272254,2020-03-29,,,NL08,02/04/2019 20:40,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773861,59285,LE00498468,2020-02-16,,,NL08,02/04/2019 20:41,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528181047,59285,LE00498531,2020-03-08,,,NL08,02/04/2019 20:48,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633265,59285,2272255,2020-03-29,,,NL08,02/04/2019 21:25,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633272,59285,2272256,2020-03-29,,,NL08,02/04/2019 22:21,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057960,59285,LE00498450,2020-03-15,,,NL08,02/04/2019 22:47,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633289,59285,2272257,2020-03-29,,,NL08,02/04/2019 23:07,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633296,59285,2272258,2020-03-29,,,NL08,02/04/2019 23:41,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,904C1NLD06,387199001527646752,59285,LE00497962,2020-02-09,,,NL08,03/04/2019 06:22,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180767,59285,LE00498532,2020-03-08,,,NL08,03/04/2019 06:22,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527844202,59285,LE00498165,2020-02-23,,,NL08,03/04/2019 07:26,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633319,59285,2272260,2020-03-29,,,NL08,03/04/2019 07:47,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633302,59285,2272259,2020-03-29,,,NL08,03/04/2019 07:48,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633326,59285,2272261,2020-03-29,,,NL08,03/04/2019 08:51,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528057137,59285,LE00498481,2020-03-15,,,NL08,03/04/2019 08:54,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,904C1NLD06,387199001527646608,59285,LE00497967,2020-02-09,,,NL08,03/04/2019 08:54,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528181245,59285,LE00498533,2020-03-08,,,NL08,03/04/2019 09:00,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633340,59285,2272263,2020-03-29,,,NL08,03/04/2019 10:07,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633333,59285,2272262,2020-03-29,,,NL08,03/04/2019 10:08,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850685,59285,LE00498580,2020-02-23,,,NL08,03/04/2019 11:47,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633357,59285,2272264,2020-03-29,,,NL08,03/04/2019 12:03,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633364,59285,2272265,2020-03-29,,,NL08,03/04/2019 12:04,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057878,59285,LE00498760,2020-03-15,,,NL08,03/04/2019 12:33,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773854,59285,LE00498575,2020-02-16,,,NL08,03/04/2019 12:33,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179068,59285,LE00498544,2020-03-08,,,NL08,03/04/2019 13:03,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633388,59285,2272267,2020-03-29,,,NL08,03/04/2019 13:50,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633371,59285,2272266,2020-03-29,,,NL08,03/04/2019 13:51,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
