Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771874,LE00498590,2020-02-16,04/04/2019 10:00,Used for production,-4,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057762,LE00498754,2020-03-15,04/04/2019 10:00,Used for production,-48,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179211,LE00498646,2020-03-08,04/04/2019 10:01,Used for production,-30,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527851156,LE00498599,2020-02-23,04/04/2019 10:01,Used for production,-48,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,904A1VSN04,340111000024628879,LE00497084,2020-01-19,04/04/2019 10:02,Used for production,-63,CASE
NR806,Bulk: GALAXY caramel bulk 10 kg,847B3VSN04,340111000024463135,LE00557331,2019-11-17,04/04/2019 10:03,Used for production,-27,CASE
NR809,Bulk: GALAXY Chunk bulk 10 kg,848A3VSN04,340111000024482310,LE00557335,2019-11-24,04/04/2019 10:03,Used for production,-54,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638406,2272769,2020-03-29,04/04/2019 12:18,Goods Receipt Finished Goods,96,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777425,LE00498591,2020-02-23,04/04/2019 12:25,Used for production,-63,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638413,2272770,2020-03-29,04/04/2019 12:34,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638420,2272771,2020-03-29,04/04/2019 13:58,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638437,2272772,2020-03-29,04/04/2019 14:39,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638444,2272773,2020-03-29,04/04/2019 15:07,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638451,2272774,2020-03-29,04/04/2019 15:38,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513638468,2272775,2020-03-29,04/04/2019 16:00,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513661862,2281707,2020-03-29,04/04/2019 16:27,Goods Receipt Finished Goods,96,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179990,LE00498648,2020-03-08,04/04/2019 16:46,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850852,LE00498605,2020-02-23,04/04/2019 16:52,Used for production,-63,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513661879,2281708,2020-03-29,04/04/2019 17:35,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513661886,2281709,2020-03-29,04/04/2019 18:02,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513661893,2281710,2020-03-29,04/04/2019 18:27,Goods Receipt Finished Goods,96,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,04/04/2019 18:42,Used for production,-63,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513661909,2281711,2020-03-29,04/04/2019 19:24,Goods Receipt Finished Goods,96,CASE
YK568,Celebrations Sharing Bag (UK mix) ,914D91HC01,387199003513661916,2281712,2020-03-29,04/04/2019 20:27,Goods Receipt Finished Goods,96,CASE
NR806,Bulk: GALAXY caramel bulk 10 kg,847B3VSN04,340111000024462978,LE00508041,2019-11-17,04/04/2019 20:44,Used for production,-63,CASE
NR809,Bulk: GALAXY Chunk bulk 10 kg,848A3VSN04,340111000024482310,LE00557359,2019-11-24,04/04/2019 20:54,Line Clearance,50,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057762,LE00557366,2020-03-15,04/04/2019 20:54,Line Clearance,11,CASE
NR806,Bulk: GALAXY caramel bulk 10 kg,847B3VSN04,340111000024462978,LE00557368,2019-11-17,04/04/2019 20:55,Line Clearance,21,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179990,LE00498648,2020-03-08,04/04/2019 20:56,Line Clearance,40,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,04/04/2019 20:56,Line Clearance,52,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850852,LE00498605,2020-02-23,04/04/2019 20:57,Line Clearance,34,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,904A1VSN04,340111000024628879,LE00497084,2020-01-19,04/04/2019 21:02,Line Clearance,23,CASE
NR809,Bulk: GALAXY Chunk bulk 10 kg,848A3VSN04,340111000024482310,LE00557359,2019-11-24,04/04/2019 21:04,Line Clearance,-29,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,,,,,05/04/2019 07:08,Waste for Production order,-8.5504,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,,,,,05/04/2019 07:08,Waste for Production order,-25.5824,CASE
NR809,Bulk: GALAXY Chunk bulk 10 kg,,,,,05/04/2019 07:08,Waste for Production order,-0.8016,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,,,,,05/04/2019 07:08,Waste for Production order,-3.12,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,,,,,05/04/2019 07:08,Waste for Production order,11.048,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,,,,,05/04/2019 07:08,Waste for Production order,-1.5824,CASE
NR806,Bulk: GALAXY caramel bulk 10 kg,,,,,05/04/2019 07:08,Waste for Production order,-35.6784,CASE
