Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
NR278,Bulk: SNICKERS miniatures bulk 10kg,911E1NLD06,387199001528184895,LE00498815,2020-03-08,05/04/2019 14:11,Used for production,-63,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,904A1VSN04,340111000024628879,LE00497084,2020-01-19,05/04/2019 13:39,Used for production,-3,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,911D1NLD07,387199001528172717,LE00498140,2019-10-13,05/04/2019 13:41,Used for production,-22,CASE
VK329,Bulk: Twix miniatures bulk 10 kg,911D2NLD07,387199001528176999,LE00498129,2019-10-13,08/04/2019 06:27,Used for production,-63,CASE
BB47D,Bulk:MW CR miniatures wafer,907D3BBN03,390111002005761808,LE00508912,2020-02-09,05/04/2019 13:41,Used for production,-27,CASE
NR292,Bulk: MALTESERS Crunchy bulk 10kg,904A2VSN04,340111000024629364,LE00497088,2020-01-19,05/04/2019 16:04,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179990,LE00498648,2020-03-08,05/04/2019 13:40,Used for production,-1,CASE
NR811,Bulk: DOVE caramel bulk 10 kg,902G3VSN04,340111000024604286,LE00508921,2020-01-05,05/04/2019 13:38,Used for production,-40,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527853624,LE00498819,2020-02-23,05/04/2019 14:11,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,05/04/2019 13:39,Used for production,-4,CASE
NR816,Bulk: DOVE chunk bulk 10kg,903B1VSN04,340111000024607171,LE00508832,2020-01-12,05/04/2019 13:39,Used for production,-43,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773076,LE00498593,2020-02-16,05/04/2019 14:11,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850852,LE00498605,2020-02-23,05/04/2019 13:38,Used for production,-2,CASE
BV86B,Celebrations Sharing bag 196gr,914E91HC01,387199003513638765,2272805,2020-03-29,05/04/2019 14:29,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,914E91HC01,387199003513638772,2272806,2020-03-29,05/04/2019 19:21,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,914E91HC01,387199003513638789,2272807,2020-03-29,05/04/2019 15:46,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,914E91HC01,387199003513638796,2272808,2020-03-29,05/04/2019 16:06,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,914E91HC01,387199003513638802,2272809,2020-03-29,05/04/2019 17:48,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,914E91HC01,387199003513638819,2272810,2020-03-29,05/04/2019 17:24,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,915A91HC01,387199003513638826,2272811,2020-04-05,08/04/2019 07:03,Goods Receipt Finished Goods,56,CASE
BV86B,Celebrations Sharing bag 196gr,915A91HC01,387199003513638833,2272812,2020-04-05,08/04/2019 08:57,Goods Receipt Finished Goods,56,CASE
